video_no,title,date,duration_min,category,view_count,member_id,member_name,generation,unit,collab_members,is_collab
7509078, [광고] 「달토끼 키우기 X 이터널 리턴」 4주년 기념 콜라보 업데이트! (w. 나나),2025-05-31,249.4,달토끼 키우기,1256,aokumo_rin,아오쿠모 린,3,Cliché,hanako_nana,True
7494100,"유니온 (w. 나나,우말)",2025-05-30,256.7,이터널 리턴,2260,aokumo_rin,아오쿠모 린,3,Cliché,"ayatsuno_yuni,hanako_nana",True
7463388,유니온 잠깐 하러 왔슈,2025-05-28,208.5,이터널 리턴,1408,aokumo_rin,아오쿠모 린,3,Cliché,ayatsuno_yuni,True
7446758,힐링(real),2025-05-26,273.6,종합 게임,1971,aokumo_rin,아오쿠모 린,3,Cliché,,False
7434890,간만에 모끼끼,2025-05-26,264.6,마비노기 모바일,1897,aokumo_rin,아오쿠모 린,3,Cliché,,False
7408878,롤체 할 사람~~ 저요~!!!,2025-05-24,173.0,전략적 팀 전투 : 우주의 신들,1386,aokumo_rin,아오쿠모 린,3,Cliché,,False
7395715,히나린 론리유니버스 많관부!!,2025-05-23,117.6,talk,1899,aokumo_rin,아오쿠모 린,3,Cliché,"ayatsuno_yuni,shirayuki_hina",True
7319886,클리셰가 드디어 1살 먹었어용~,2025-05-18,97.0,talk,4549,aokumo_rin,아오쿠모 린,3,Cliché,,False
7318300,클리셰 1주년!!!!,2025-05-18,159.7,talk,9135,aokumo_rin,아오쿠모 린,3,Cliché,,False
7306370,봄빛데이트 린도 같이 즐겨요,2025-05-17,249.9,전략적 팀 전투 : 우주의 신들,2260,aokumo_rin,아오쿠모 린,3,Cliché,,False
7287926,발켓몬 너불체육관 모여유,2025-05-16,243.2,발로란트,5470,aokumo_rin,아오쿠모 린,3,Cliché,,False
7259215,아아 내가 너무 빛나서 쳐다보질 못하는구나... ,2025-05-15,200.3,스타듀 밸리,1968,aokumo_rin,아오쿠모 린,3,Cliché,,False
